"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"1 ago 2025 16:17:36 UTC","25224354552","Pedido","402-5779187-0801153","EQUI0007","Excellent Equi Omega Boost - Para apoyar la conservación de una piel sana y restaurar el brillo del pelaje - Adecuado para caballos - 1 litro","1","amazon.es","Amazon","Denia","Alicante","03700","","20,62","4,33","0","0","0","0","0","0","0","-4,53","-5,09","-0,09","0","15,24"
"1 ago 2025 17:21:26 UTC","25224354552","IVA de inventario combinado","20281398572","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,65","-4,65"
"1 ago 2025 22:14:08 UTC","25224354552","IVA de inventario combinado","20281497042","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4,65","-4,65"
"2 ago 2025 4:55:10 UTC","25224354552","Tarifa de prestación de servicio","","","Gastos de publicidad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-7,73","0","-7,73"
"4 ago 2025 22:04:06 UTC","25224354552","Pedido","403-8731767-8395548","SWEE0012","Excellent Horse Sweetblocks - Caramelos de caballo - Ricos en vitaminas - poco azúcar - sabor a manzana - 1 kg","1","amazon.es","Vendedor","Algeciras","CADIZ","11207","","30,87","6,48","0","0","0","0","0","0","0","-6,77","0","-0,13","0","30,45"
"4 ago 2025 23:18:25 UTC","25224354552","Pedido","171-7095994-2048325","BIRC05000","Birchmeier Espolvoreador Dr5","1","amazon.es","Vendedor","Pizarra","Rapiplaga","29560","","212,50","0","0","0","0","0","0","0","0","-38,57","0","-0,77","0","173,16"
"6 ago 2025 23:16:55 UTC","25224354552","Pedido","408-8273872-5701150","VOET0004","Boot Cleaner Cepillos Para Caballo Cepillo Para Botas Con Reposamanos","2","amazon.es","Vendedor","HUELVA","HUELVA","21002","","124,98","0","0","0","0","0","0","0","0","-22,67","0","-0,44","0","101,87"
"7 ago 2025 9:19:52 UTC","25224354552","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento de Logística de Amazon","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-31,52","-31,52"
"8 ago 2025 21:29:24 UTC","25224354552","Pedido","171-1310993-2155525","DRAGR55800","Dräger X-plore 6300 Máscara completa con conexión roscada estándar Rd40 | Para la construcción y la industria","2","amazon.es","Vendedor","Teixeiro","A Coruña","15310","","194,38","40,82","0","0","0","0","0","0","0","-42,69","0","-0,86","0","191,65"
"8 ago 2025 22:12:32 UTC","25224354552","Pedido","407-6637067-5682726","GAMM4340","Gamma2 Vittles Vault - Contenedor apilable de almacenamiento de alimentos para perros con tapa hermética, para hasta 40 libras de comida seca para ma","3","amazon.es","Vendedor","Gozón","Principado de Asturias","33490","","192,87","40,50","0","0","0","0","0","0","0","-42,37","0","-0,85","0","190,15"
